== Crawling list pages 1..21 ==
page 1: 12 links (12 new)
page 2: 12 links (12 new)
page 3: 12 links (12 new)
page 4: 12 links (12 new)
page 5: 12 links (12 new)
page 6: 12 links (12 new)
page 7: 12 links (12 new)
page 8: 12 links (12 new)
page 9: 12 links (12 new)
page 10: 12 links (12 new)
page 11: 12 links (12 new)
page 12: 12 links (12 new)
page 13: 12 links (12 new)
page 14: 12 links (12 new)
page 15: 12 links (12 new)
page 16: 12 links (12 new)
page 17: 12 links (12 new)
page 18: 12 links (12 new)
page 19: 12 links (12 new)
page 20: 12 links (12 new)
page 21: 9 links (9 new)

Found 249 unique profile URLs.

== Crawling detail pages ==
  [1] ngo-thi-kim-yen: socials=2 portfolio=2 avatar=y
  [2] linh-baeli: socials=3 portfolio=4 avatar=y
  [3] nhan-phuong-chi-xu: socials=2 portfolio=4 avatar=y
  [4] bu-ne: socials=2 portfolio=2 avatar=y
  [5] hat-tieu-foodie: socials=2 portfolio=2 avatar=y
  [6] quynh-tran-ne: socials=2 portfolio=4 avatar=y
  [7] nha-hieu-review: socials=1 portfolio=0 avatar=y
  [8] meembeshin: socials=2 portfolio=0 avatar=y
  [9] medaureview078: socials=3 portfolio=0 avatar=y
  [10] simple-man: socials=2 portfolio=0 avatar=y
  [11] gia-dinh-mat-hi: socials=1 portfolio=0 avatar=y
  [12] duc-va-ly: socials=4 portfolio=3 avatar=y
  [13] di-di: socials=2 portfolio=3 avatar=y
  [14] chi-ho-vlog: socials=3 portfolio=4 avatar=y
  [15] duong-jin: socials=3 portfolio=4 avatar=y
  [16] le-kha-duy: socials=3 portfolio=4 avatar=y
  [17] yul-daily: socials=2 portfolio=4 avatar=y
  [18] ha-cookie: socials=3 portfolio=4 avatar=y
  [19] hanyone: socials=3 portfolio=4 avatar=y
  [20] me-chang-va-bap: socials=1 portfolio=0 avatar=y
  [21] nhamomtuyen: socials=2 portfolio=0 avatar=y
  [22] phuong-quynh-me-gau%f0%9f%90%bbvani%f0%9f%8d%a6: socials=3 portfolio=0 avatar=y
  [23] mebaoboi93: socials=2 portfolio=0 avatar=y
  [24] tieu-ngoc: socials=3 portfolio=2 avatar=y
  [25] cim-ngan: socials=2 portfolio=0 avatar=y
  [26] ridung-iuoilaiu: socials=2 portfolio=0 avatar=y
  [27] tuan-anh-le: socials=2 portfolio=0 avatar=y
  [28] thau-di-dau: socials=4 portfolio=0 avatar=y
  [29] lie-makeup: socials=4 portfolio=2 avatar=y
  [30] mim-chong: socials=4 portfolio=0 avatar=y
  [31] hach-lien-tu-nguyet: socials=4 portfolio=2 avatar=y
  [32] review-cung-bum: socials=2 portfolio=0 avatar=y
  [33] me-ho: socials=1 portfolio=0 avatar=y
  [34] khanh-van: socials=3 portfolio=0 avatar=y
  [35] phi-yen-pham: socials=3 portfolio=0 avatar=y
  [36] tu-thuy-review: socials=3 portfolio=0 avatar=y
  [37] an-di-an: socials=3 portfolio=0 avatar=y
  [38] doan-quoc-ha-nhi: socials=3 portfolio=0 avatar=y
  [39] anh-tuyet-yen-nhi: socials=3 portfolio=2 avatar=y
  [40] chill-with-dan: socials=4 portfolio=2 avatar=y
  [41] truc-quynh-junmi: socials=4 portfolio=2 avatar=y
  [42] yoshi-vu: socials=3 portfolio=2 avatar=y
  [43] thin-duc: socials=3 portfolio=2 avatar=y
  [44] linhsieuxinh: socials=2 portfolio=0 avatar=y
  [45] ly-pham: socials=4 portfolio=0 avatar=y
  [46] dumi: socials=3 portfolio=2 avatar=y
  [47] sammy: socials=2 portfolio=0 avatar=y
  [48] quyenleodaily: socials=4 portfolio=0 avatar=y
  [49] yen-thich-review: socials=6 portfolio=0 avatar=y
  [50] hy-khi-duong-duong: socials=4 portfolio=0 avatar=y
  [51] hong-anh: socials=3 portfolio=0 avatar=y
  [52] baby-tra-sua: socials=3 portfolio=0 avatar=y
  [53] em-be-noi-tieng-anh-minhee: socials=3 portfolio=0 avatar=y
  [54] mam-non-giai-tri: socials=4 portfolio=0 avatar=y
  [55] inlil-chang-nguyen: socials=4 portfolio=0 avatar=y
  [56] doan-van-anh: socials=2 portfolio=0 avatar=y
  [57] quynh-nhi: socials=4 portfolio=0 avatar=y
  [58] hong-khanh: socials=3 portfolio=0 avatar=y
  [59] hoang-kim-chi: socials=3 portfolio=0 avatar=y
  [60] me-bim-mio: socials=1 portfolio=0 avatar=y
  [61] me-kem-review: socials=1 portfolio=0 avatar=y
  [62] blacki-d: socials=3 portfolio=0 avatar=y
  [63] quynh-thi: socials=4 portfolio=0 avatar=y
  [64] lou-le: socials=3 portfolio=0 avatar=y
  [65] yen-dan: socials=3 portfolio=0 avatar=y
  [66] nhan-di-an: socials=4 portfolio=0 avatar=y
  [67] ong-anh-thich-nau-an: socials=4 portfolio=0 avatar=y
  [68] babykopo-home: socials=4 portfolio=0 avatar=y
  [69] saigon-tastes: socials=1 portfolio=0 avatar=y
  [70] sonnhi: socials=1 portfolio=0 avatar=y
  [71] phomai-an-ramen: socials=1 portfolio=0 avatar=y
  [72] yoohee-beauty: socials=2 portfolio=0 avatar=y
  [73] miu-linh: socials=3 portfolio=0 avatar=y
  [74] ba-chua-review: socials=2 portfolio=0 avatar=y
  [75] dia-diem-an-uong: socials=1 portfolio=0 avatar=y
  [76] huyen-tu: socials=3 portfolio=0 avatar=y
  [77] di-dau-nao: socials=2 portfolio=0 avatar=y
  [78] hanbow-beauty: socials=2 portfolio=0 avatar=y
  [79] ha-noi-an-gi: socials=2 portfolio=0 avatar=y
  [80] bui-thi-kim-luyen: socials=1 portfolio=0 avatar=y
  [81] __trashed-3: socials=2 portfolio=0 avatar=y
  [82] vy-pinky: socials=1 portfolio=0 avatar=y
  [83] hazen: socials=2 portfolio=0 avatar=y
  [84] dung-amy: socials=2 portfolio=0 avatar=y
  [85] nha-cua-bi: socials=2 portfolio=0 avatar=y
  [86] thu-uyen: socials=1 portfolio=0 avatar=y
  [87] hoang-thi-phuong-thao: socials=2 portfolio=0 avatar=y
  [88] trinh-thi-my-le: socials=3 portfolio=0 avatar=y
  [89] gia-dinh-mat-mat: socials=1 portfolio=0 avatar=y
  [90] huyen-nguyen-hmeuu: socials=3 portfolio=0 avatar=y
  [91] tuyen-pham-family: socials=1 portfolio=0 avatar=y
  [92] thu-nhi-eat-clean-hong: socials=4 portfolio=0 avatar=y
  [93] eatwhning: socials=3 portfolio=0 avatar=y
  [94] meily: socials=1 portfolio=0 avatar=y
  [95] thanh-lan: socials=2 portfolio=0 avatar=y
  [96] hai-wanderlust: socials=3 portfolio=0 avatar=y
  [97] ng-le-thu-thuy: socials=2 portfolio=0 avatar=y
  [98] di-cung-thy: socials=3 portfolio=0 avatar=y
  [99] pham-ha-phuong-thao: socials=3 portfolio=0 avatar=y
  [100] sak-food-an-gi-choi-gi: socials=4 portfolio=0 avatar=y
  [101] nghia-tinon: socials=2 portfolio=0 avatar=y
  [102] quin-vu-thuy-quynh: socials=4 portfolio=0 avatar=y
  [103] henry-tran: socials=2 portfolio=0 avatar=y
  [104] fancy-with-trang: socials=3 portfolio=0 avatar=y
  [105] lee-hay-di: socials=3 portfolio=0 avatar=y
  [106] doan-thanh-ngan: socials=2 portfolio=0 avatar=y
  [107] nguyen-thoai-nghi: socials=3 portfolio=0 avatar=y
  [108] quynh-go: socials=3 portfolio=0 avatar=y
  [109] tran-oanh: socials=2 portfolio=0 avatar=y
  [110] ngoc-gemma: socials=3 portfolio=0 avatar=y
  [111] quynh-nguyen: socials=2 portfolio=0 avatar=y
  [112] nguyen-bich-ngoc: socials=1 portfolio=0 avatar=y
  [113] ngan-ngan: socials=4 portfolio=0 avatar=y
  [114] tien-anh: socials=1 portfolio=0 avatar=y
  [115] tinh-tim-toi: socials=4 portfolio=0 avatar=y
  [116] ngoc-tu-anh: socials=3 portfolio=0 avatar=y
  [117] an-choi-dieu-nghe: socials=1 portfolio=0 avatar=y
  [118] huong-thu-do: socials=1 portfolio=0 avatar=y
  [119] bui-my-anh: socials=3 portfolio=0 avatar=y
  [120] muong-ne: socials=2 portfolio=0 avatar=y
  [121] mam-mam-sai-gon: socials=2 portfolio=0 avatar=y
  [122] an-ngon-cung-nhi: socials=2 portfolio=0 avatar=y
  [123] dan-quynh: socials=1 portfolio=0 avatar=y
  [124] hahimue: socials=3 portfolio=0 avatar=y
  [125] thao-quyen: socials=3 portfolio=0 avatar=y
  [126] ngoc-diep-truong: socials=1 portfolio=0 avatar=y
  [127] tran-ha-bao-ngan: socials=3 portfolio=0 avatar=y
  [128] phan-quynh-trang: socials=2 portfolio=0 avatar=y
  [129] van-pham: socials=3 portfolio=4 avatar=y
  [130] ngoc-thanh: socials=1 portfolio=0 avatar=y
